ncbi_taxon_id,presented_samples,nr_phenotypes,pct_of_all_samples,name,dblinks,files
635,4,2,0.0107,Edwardsiella,[],"['Edwardsiella_tarda_080813.mat', 'Edwardsiella_tarda_ATCC_23685.mat', 'Edwardsiella_tarda_C07_087.mat', 'Edwardsiella_tarda_DT.mat', 'Edwardsiella_tarda_EIB202.mat', 'Edwardsiella_tarda_FL6_60.mat', 'Edwardsiella_tarda_FL95_01.mat', 'Edwardsiella_tarda_NBRC_105688.mat']"
637,325,1,0.8655,Arsenophonus,[],[]
642,494,10,1.3156,Aeromonas,"[{""url"":""http://mvp.medgenius.info/microbes/642/Aeromonas"",""anno"":""assoc w/ 9 phage clusters"",""dbtype"":""MVP""}]","['Aeromonas_caviae_Ae398.mat', 'Aeromonas_caviae_FDAARGOS_72.mat', 'Aeromonas_caviae_FDAARGOS_75.mat', 'Aeromonas_dhakensis_173.mat', 'Aeromonas_dhakensis_277.mat', 'Aeromonas_dhakensis_SSU.mat', 'Aeromonas_hydrophila_116.mat', 'Aeromonas_hydrophila_14.mat', 'Aeromonas_hydrophila_187.mat', 'Aeromonas_hydrophila_259.mat', 'Aeromonas_hydrophila_AH10.mat', 'Aeromonas_hydrophila_ML09_119.mat', 'Aeromonas_hydrophila_RB_AH.mat', 'Aeromonas_hydrophila_SNUFPC_A8.mat', 'Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966.mat', 'Aeromonas_jandaei_Riv2.mat', 'Aeromonas_media_ARB13.mat', 'Aeromonas_media_WS.mat', 'Aeromonas_veronii_AER39.mat', 'Aeromonas_veronii_AER397.mat', 'Aeromonas_veronii_AMC34.mat', 'Aeromonas_veronii_AMC35.mat', 'Aeromonas_veronii_AVNIH1.mat', 'Aeromonas_veronii_B565.mat', 'Aeromonas_veronii_TH0426.mat']"
657,373,2,0.9933,Photobacterium,[],"['Photobacterium_angustum_S14.mat', 'Photobacterium_damselae_Phdp_Wu_1.mat', 'Photobacterium_damselae_subsp_damselae_CIP_102761.mat', 'Photobacterium_damselae_subsp_damselae_KC_Na_1.mat', 'Photobacterium_leiognathi_subsp_mandapamensis_svers11.mat', 'Photobacterium_sp_SKA34.mat']"
662,439,7,1.1691,Vibrio,"[{""dbtype"":""MVP"",""anno"":""assoc w/ 15 phage clusters"",""url"":""http://mvp.medgenius.info/microbes/662/Vibrio""}]","['Vibrio_campbellii_ATCC_BAA_1116.mat', 'Vibrio_campbellii_HY01.mat', 'Vibrio_cholerae_A1552.mat', 'Vibrio_cholerae_O1_biovar_El_Tor_str_N16961.mat', 'Vibrio_fluvialis_560.mat', 'Vibrio_fluvialis_I21563.mat', 'Vibrio_fluvialis_PG41.mat', 'Vibrio_furnissii_CIP_102972.mat', 'Vibrio_furnissii_NCTC_11218.mat', 'Vibrio_harveyi_1DA3.mat', 'Vibrio_mimicus_CAIM_602.mat', 'Vibrio_mimicus_MB_451.mat', 'Vibrio_mimicus_SX_4.mat', 'Vibrio_mimicus_VM223.mat', 'Vibrio_mimicus_VM573.mat', 'Vibrio_mimicus_VM603.mat', 'Vibrio_parahaemolyticus_10329.mat', 'Vibrio_parahaemolyticus_AN_5034.mat', 'Vibrio_parahaemolyticus_AQ3810.mat', 'Vibrio_parahaemolyticus_BB22OP.mat', 'Vibrio_parahaemolyticus_FORC_008.mat', 'Vibrio_parahaemolyticus_PCV08_7.mat', 'Vibrio_parahaemolyticus_RIMD_2210633.mat', 'Vibrio_parahaemolyticus_SNUVpS_1.mat', 'Vibrio_parahaemolyticus_v110.mat', 'Vibrio_rotiferianus_DAT722.mat', 'Vibrio_shilonii_AK1.mat', 'Vibrio_sinaloensis_AD032.mat', 'Vibrio_sinaloensis_DSM_21326.mat']"
702,18,6,0.0479,Plesiomonas,[],"['Plesiomonas_shigelloides_302_73.mat', 'Plesiomonas_shigelloides_GN7.mat']"
713,207,14,0.5513,Actinobacillus,[],"['Actinobacillus_pleuropneumoniae_L20.mat', 'Actinobacillus_pleuropneumoniae_S8.mat', 'Actinobacillus_pleuropneumoniae_serovar_10_str_D13039.mat', 'Actinobacillus_pleuropneumoniae_serovar_11_str_56153.mat', 'Actinobacillus_pleuropneumoniae_serovar_12_str_1096.mat', 'Actinobacillus_pleuropneumoniae_serovar_13_str_N273.mat', 'Actinobacillus_pleuropneumoniae_serovar_1_str_4074.mat', 'Actinobacillus_pleuropneumoniae_serovar_2_str_4226.mat', 'Actinobacillus_pleuropneumoniae_serovar_2_str_S1536.mat', 'Actinobacillus_pleuropneumoniae_serovar_3_str_JL03.mat', 'Actinobacillus_pleuropneumoniae_serovar_4_str_M62.mat', 'Actinobacillus_pleuropneumoniae_serovar_6_str_Femo.mat', 'Actinobacillus_pleuropneumoniae_serovar_7_str_AP76.mat', 'Actinobacillus_pleuropneumoniae_serovar_9_str_CVJ13261.mat']"
724,18571,78,49.4567,Haemophilus,[],"['Haemophilus_aegyptius_ATCC_11116.mat', 'Haemophilus_haemolyticus_HK386.mat', 'Haemophilus_haemolyticus_M19501.mat', 'Haemophilus_haemolyticus_M21127.mat', 'Haemophilus_haemolyticus_M21621.mat', 'Haemophilus_haemolyticus_M21639.mat', 'Haemophilus_influenzae_10810.mat', 'Haemophilus_influenzae_477.mat', 'Haemophilus_influenzae_6P18H1.mat', 'Haemophilus_influenzae_7P49H1.mat', 'Haemophilus_influenzae_86_028NP.mat', 'Haemophilus_influenzae_F3031.mat', 'Haemophilus_influenzae_F3047.mat', 'Haemophilus_influenzae_Hi375.mat', 'Haemophilus_influenzae_NT127.mat', 'Haemophilus_influenzae_PittAA.mat', 'Haemophilus_influenzae_PittEE.mat', 'Haemophilus_influenzae_PittGG.mat', 'Haemophilus_influenzae_PittHH.mat', 'Haemophilus_influenzae_PittII.mat', 'Haemophilus_influenzae_R2846.mat', 'Haemophilus_influenzae_R2866.mat', 'Haemophilus_influenzae_RdAW.mat', 'Haemophilus_influenzae_Rd_KW20.mat', 'Haemophilus_parahaemolyticus_CCUG_3716_3716T.mat', 'Haemophilus_parahaemolyticus_G321.mat', 'Haemophilus_parahaemolyticus_HK385.mat', 'Haemophilus_parainfluenzae_215035_2_ISO5.mat', 'Haemophilus_parainfluenzae_ATCC_33392.mat', 'Haemophilus_parainfluenzae_HK2019.mat', 'Haemophilus_parainfluenzae_HK262.mat', 'Haemophilus_parainfluenzae_T3T1.mat', 'Haemophilus_paraphrohaemolyticus_CCUG_3718.mat', 'Haemophilus_paraphrohaemolyticus_HK411.mat', 'Haemophilus_pittmaniae_HK_85.mat', 'Haemophilus_pittmaniae_NCTC13334.mat', 'Haemophilus_sputorum_CCUG_13788.mat', 'Haemophilus_sputorum_HK_2154.mat']"
768,131,3,0.3489,Anaplasma,[],[]
773,10,3,0.0266,Bartonella,[],"['Bartonella_quintana_RM_11.mat', 'Bartonella_quintana_Toulouse.mat']"
780,2,1,0.0053,Rickettsia,[],[]
816,34266,95,91.2543,Bacteroides,"[{""anno"":""assoc w/ 91 phage clusters"",""dbtype"":""MVP"",""url"":""http://mvp.medgenius.info/microbes/816/Bacteroides""}]","['Bacteroides_acidifaciens_1e8A.mat', 'Bacteroides_acidifaciens_ERR2221207.mat', 'Bacteroides_acidifaciens_ERR2221208.mat', 'Bacteroides_acidifaciens_ERR2221211.mat', 'Bacteroides_acidifaciens_JCM_10556.mat', 'Bacteroides_barnesiae_DSM_18169_JCM_13652.mat', 'Bacteroides_caccae_ATCC_43185.mat', 'Bacteroides_caccae_CL03T12C61.mat', 'Bacteroides_caccae_ERR1022396.mat', 'Bacteroides_caccae_ERR1022460.mat', 'Bacteroides_caccae_ERR2221107.mat', 'Bacteroides_caccae_ERR2221357.mat', 'Bacteroides_caecimuris_I48.mat', 'Bacteroides_cellulosilyticus_CL02T12C19.mat', 'Bacteroides_cellulosilyticus_DSM_14838.mat', 'Bacteroides_cellulosilyticus_ERR1022414.mat', 'Bacteroides_cellulosilyticus_ERR2221108.mat', 'Bacteroides_cellulosilyticus_ERR2221262.mat', 'Bacteroides_cellulosilyticus_ERR2221326.mat', 'Bacteroides_cellulosilyticus_ERR2230100.mat', 'Bacteroides_cellulosilyticus_WH2.mat', 'Bacteroides_clarus_ERR2221196.mat', 'Bacteroides_clarus_ERR2221286.mat', 'Bacteroides_clarus_ERR2230074.mat', 'Bacteroides_clarus_YIT_12056.mat', 'Bacteroides_coprocola_M16_DSM_17136.mat', 'Bacteroides_coprophilus_DSM_18228.mat', 'Bacteroides_coprosuis_DSM_18011.mat', 'Bacteroides_dorei_CL02T00C15.mat', 'Bacteroides_dorei_CL02T12C06.mat', 'Bacteroides_dorei_CL03T12C01.mat', 'Bacteroides_dorei_DSM_17855.mat', 'Bacteroides_dorei_ERR2221252.mat', 'Bacteroides_dorei_ERR2230082.mat', 'Bacteroides_eggerthii_1_2_48FAA.mat', 'Bacteroides_eggerthii_DSM_20697.mat', 'Bacteroides_faecis_ERR1022362.mat', 'Bacteroides_faecis_ERR1203949.mat', 'Bacteroides_faecis_ERR1204043.mat', 'Bacteroides_faecis_ERR2221133.mat', 'Bacteroides_faecis_MAJ27.mat', 'Bacteroides_finegoldii_DSM_17565.mat', 'Bacteroides_finegoldii_ERR1022298.mat', 'Bacteroides_finegoldii_ERR1022319.mat', 'Bacteroides_fluxus_YIT_12057.mat', 'Bacteroides_fragilis_3_1_12.mat', 'Bacteroides_fragilis_638R.mat', 'Bacteroides_fragilis_BOB25.mat', 'Bacteroides_fragilis_CL03T00C08.mat', 'Bacteroides_fragilis_CL03T12C07.mat', 'Bacteroides_fragilis_CL05T00C42.mat', 'Bacteroides_fragilis_CL05T12C13.mat', 'Bacteroides_fragilis_CL07T00C01.mat', 'Bacteroides_fragilis_CL07T12C05.mat', 'Bacteroides_fragilis_ERR1022457.mat', 'Bacteroides_fragilis_ERR1203962.mat', 'Bacteroides_fragilis_ERR1204056.mat', 'Bacteroides_fragilis_ERR2221134.mat', 'Bacteroides_fragilis_ERR2221268.mat', 'Bacteroides_fragilis_ERR2221298.mat', 'Bacteroides_fragilis_ERR2230126.mat', 'Bacteroides_fragilis_ERR2230137.mat', 'Bacteroides_fragilis_HMW_610.mat', 'Bacteroides_fragilis_HMW_615.mat', 'Bacteroides_fragilis_HMW_616.mat', 'Bacteroides_fragilis_NCTC_9343.mat', 'Bacteroides_fragilis_str_3397_T10.mat', 'Bacteroides_fragilis_str_3986_T_B_9.mat', 'Bacteroides_fragilis_str_DS_208.mat', 'Bacteroides_fragilis_YCH46.mat', 'Bacteroides_gallinarum_DSM_18171_JCM_13658.mat', 'Bacteroides_graminisolvens_DSM_19988.mat', 'Bacteroides_helcogenes_P_36_108.mat', 'Bacteroides_intestinalis_341_DSM_17393.mat', 'Bacteroides_intestinalis_KLE1704.mat', 'Bacteroides_luti_DSM_26991.mat', 'Bacteroides_massiliensis_B84634.mat', 'Bacteroides_neonati_MS4.mat', 'Bacteroides_nordii_CL02T12C05.mat', 'Bacteroides_nordii_ERR2221135.mat', 'Bacteroides_nov_ERR1022359.mat', 'Bacteroides_nov_ERR1022361.mat', 'Bacteroides_nov_ERR1022456.mat', 'Bacteroides_nov_ERR2221137.mat', 'Bacteroides_nov_ERR2221300.mat', 'Bacteroides_nov_ERR2221375.mat', 'Bacteroides_nov_ERR2221405.mat', 'Bacteroides_oleiciplenus_YIT_12058.mat', 'Bacteroides_ovatus_3_8_47FAA.mat', 'Bacteroides_ovatus_ATCC_8483.mat', 'Bacteroides_ovatus_CL02T12C04.mat', 'Bacteroides_ovatus_CL03T12C18.mat', 'Bacteroides_ovatus_ERR1203959.mat', 'Bacteroides_ovatus_ERR1204053.mat', 'Bacteroides_ovatus_ERR2221136.mat', 'Bacteroides_ovatus_ERR2230063.mat', 'Bacteroides_ovatus_SD_CC_2a.mat', 'Bacteroides_ovatus_SD_CMC_3f.mat', 'Bacteroides_pectinophilus_ATCC_43243.mat', 'Bacteroides_plebeius_M12_DSM_17135.mat', 'Bacteroides_propionicifaciens_DSM_19291_JCM_14649.mat', 'Bacteroides_pyogenes_DSM20611.mat', 'Bacteroides_pyogenes_F0041.mat', 'Bacteroides_pyogenes_JCM_10003.mat', 'Bacteroides_pyogenes_JCM_6292.mat', 'Bacteroides_rodentium_JCM_16496.mat', 'Bacteroides_salanitronis_DSM_18170.mat', 'Bacteroides_salyersiae_CL02T12C01.mat', 'Bacteroides_salyersiae_ERR1022329.mat', 'Bacteroides_salyersiae_WAL_10018.mat', 'Bacteroides_sartorii_dnLKV3.mat', 'Bacteroides_sartorii_JCM_17136.mat', 'Bacteroides_sp_14_A.mat', 'Bacteroides_sp_1_1_14.mat', 'Bacteroides_sp_1_1_30.mat', 'Bacteroides_sp_1_1_6.mat', 'Bacteroides_sp_20_3.mat', 'Bacteroides_sp_2_1_22.mat', 'Bacteroides_sp_2_1_33B.mat', 'Bacteroides_sp_2_1_7.mat', 'Bacteroides_sp_2_2_4.mat', 'Bacteroides_sp_3_1_19.mat', 'Bacteroides_sp_3_1_23.mat', 'Bacteroides_sp_3_1_33FAA.mat', 'Bacteroides_sp_3_1_40A.mat', 'Bacteroides_sp_3_2_5.mat', 'Bacteroides_sp_4_1_36.mat', 'Bacteroides_sp_4_3_47FAA.mat', 'Bacteroides_sp_9_1_42FAA.mat', 'Bacteroides_sp_D1.mat', 'Bacteroides_sp_D2.mat', 'Bacteroides_sp_D20.mat', 'Bacteroides_sp_D22.mat', 'Bacteroides_sp_HPS0048.mat', 'Bacteroides_stercoris_ATCC_43183.mat', 'Bacteroides_stercoris_CC31F.mat', 'Bacteroides_stercoris_ERR1203945.mat', 'Bacteroides_stercoris_ERR1204039.mat', 'Bacteroides_stercoris_ERR2230062.mat', 'Bacteroides_stercoris_ERR2230094.mat', 'Bacteroides_stercoris_ERR2230103.mat', 'Bacteroides_stercoris_ERR2230124.mat', 'Bacteroides_stercoris_ERR2230142.mat', 'Bacteroides_stercoris_ERR2230162.mat', 'Bacteroides_thetaiotaomicron_3731.mat', 'Bacteroides_thetaiotaomicron_7330.mat', 'Bacteroides_thetaiotaomicron_CL09T03C10.mat', 'Bacteroides_thetaiotaomicron_dnLKV9.mat', 'Bacteroides_thetaiotaomicron_ERR1022331.mat', 'Bacteroides_thetaiotaomicron_ERR1022413.mat', 'Bacteroides_thetaiotaomicron_ERR1022459.mat', 'Bacteroides_thetaiotaomicron_ERR2221264.mat', 'Bacteroides_thetaiotaomicron_ERR2221274.mat', 'Bacteroides_thetaiotaomicron_ERR2221312.mat', 'Bacteroides_thetaiotaomicron_ERR2230081.mat', 'Bacteroides_thetaiotaomicron_VPI_5482.mat', 'Bacteroides_timonensis_AP1.mat', 'Bacteroides_uniformis_ATCC_8492.mat', 'Bacteroides_uniformis_CL03T00C23.mat', 'Bacteroides_uniformis_CL03T12C37.mat', 'Bacteroides_uniformis_dnLKV2.mat', 'Bacteroides_uniformis_ERR1022271.mat', 'Bacteroides_uniformis_ERR1022322.mat', 'Bacteroides_uniformis_ERR1022360.mat', 'Bacteroides_uniformis_ERR1022363.mat', 'Bacteroides_uniformis_ERR1022412.mat', 'Bacteroides_uniformis_ERR1203944.mat', 'Bacteroides_uniformis_ERR1204038.mat', 'Bacteroides_uniformis_ERR2221138.mat', 'Bacteroides_uniformis_ERR2221253.mat', 'Bacteroides_uniformis_ERR2221261.mat', 'Bacteroides_uniformis_ERR2221281.mat', 'Bacteroides_uniformis_ERR2230106.mat', 'Bacteroides_uniformis_ERR2230119.mat', 'Bacteroides_uniformis_ERR2230138.mat', 'Bacteroides_uniformis_ERR2230139.mat', 'Bacteroides_uniformis_ERR2230141.mat', 'Bacteroides_uniformis_ERR2230143.mat', 'Bacteroides_uniformis_ERR2230159.mat', 'Bacteroides_uniformis_ERR2230160.mat', 'Bacteroides_uniformis_str_3978_T3_i.mat', 'Bacteroides_ureolyticus_DSM_20703.mat', 'Bacteroides_vulgatus_ATCC_8482.mat', 'Bacteroides_vulgatus_CL09T03C04.mat', 'Bacteroides_vulgatus_dnLKV7.mat', 'Bacteroides_vulgatus_ERR1022358.mat', 'Bacteroides_vulgatus_ERR1022411.mat', 'Bacteroides_vulgatus_ERR1022458.mat', 'Bacteroides_vulgatus_ERR1203951.mat', 'Bacteroides_vulgatus_ERR1204045.mat', 'Bacteroides_vulgatus_ERR2221206.mat', 'Bacteroides_vulgatus_ERR2221254.mat', 'Bacteroides_vulgatus_ERR2221256.mat', 'Bacteroides_vulgatus_ERR2221259.mat', 'Bacteroides_vulgatus_ERR2221267.mat', 'Bacteroides_vulgatus_ERR2221272.mat', 'Bacteroides_vulgatus_ERR2221273.mat', 'Bacteroides_vulgatus_ERR2221276.mat', 'Bacteroides_vulgatus_ERR2230079.mat', 'Bacteroides_vulgatus_ERR2230086.mat', 'Bacteroides_vulgatus_ERR2230091.mat', 'Bacteroides_vulgatus_ERR2230095.mat', 'Bacteroides_vulgatus_ERR2230128.mat', 'Bacteroides_vulgatus_ERR2230134.mat', 'Bacteroides_vulgatus_ERR2230150.mat', 'Bacteroides_vulgatus_mpk.mat', 'Bacteroides_vulgatus_PC510.mat', 'Bacteroides_xylanisolvens_CL03T12C04.mat', 'Bacteroides_xylanisolvens_ERR1022297.mat', 'Bacteroides_xylanisolvens_ERR2221139.mat', 'Bacteroides_xylanisolvens_ERR2221366.mat', 'Bacteroides_xylanisolvens_ERR2230096.mat', 'Bacteroides_xylanisolvens_ERR2230097.mat', 'Bacteroides_xylanisolvens_SD_CC_1b.mat', 'Bacteroides_xylanisolvens_XB1A.mat', 'Bacteroides_xylanolyticus_DSM_3808.mat']"
830,1392,33,3.7071,Butyrivibrio,[],"['Butyrivibrio_crossotus_DSM_2876.mat', 'Butyrivibrio_fibrisolvens_16_4.mat', 'Butyrivibrio_proteoclasticus_B316.mat']"
832,359,2,0.9561,Fibrobacter,[],[]
836,4109,47,10.9427,Porphyromonas,[],"['Porphyromonas_asaccharolytica_DSM_20707.mat', 'Porphyromonas_asaccharolytica_PR426713P_I.mat', 'Porphyromonas_bennonis_DSM_23058_JCM_16335.mat', 'Porphyromonas_endodontalis_ATCC_35406.mat', 'Porphyromonas_gingivalis_A7436.mat', 'Porphyromonas_gingivalis_ATCC_33277.mat', 'Porphyromonas_gingivalis_TDC60.mat', 'Porphyromonas_gingivalis_W83.mat', 'Porphyromonas_gingivicanis_JCM_15907.mat', 'Porphyromonas_somerae_DSM_23386.mat', 'Porphyromonas_uenonis_60_3.mat', 'Porphyromonas_uenonis_DSM_23387.mat']"
838,22886,91,60.9481,Prevotella,[],"['Prevotella_albensis_DSM_11370.mat', 'Prevotella_amnii_CRIS_21A_A.mat', 'Prevotella_amnii_DNF00058.mat', 'Prevotella_amnii_DNF00307.mat', 'Prevotella_amnii_DSM_23384_JCM_14753.mat', 'Prevotella_aurantiaca_JCM_15754.mat', 'Prevotella_baroniae_DSM_16972_JCM_13447.mat', 'Prevotella_baroniae_F0067.mat', 'Prevotella_bergensis_DSM_17361.mat', 'Prevotella_bivia_DSM_20514.mat', 'Prevotella_bivia_JCVIHMP010.mat', 'Prevotella_brevis_ATCC_19188.mat', 'Prevotella_bryantii_B14.mat', 'Prevotella_bryantii_C21a.mat', 'Prevotella_buccae_ATCC_33574.mat', 'Prevotella_buccae_D17.mat', 'Prevotella_buccalis_ATCC_35310.mat', 'Prevotella_buccalis_DNF00853.mat', 'Prevotella_buccalis_DNF00985.mat', 'Prevotella_buccalis_UMB0536_16933_8_22_1.mat', 'Prevotella_conceptionensis_9403948.mat', 'Prevotella_copri_CB7_DSM_18205.mat', 'Prevotella_copri_ERR1022397.mat', 'Prevotella_corporis_DSM_18810.mat', 'Prevotella_corporis_MJR7716.mat', 'Prevotella_dentalis_DSM_3688.mat', 'Prevotella_dentasini_JCM_15908.mat', 'Prevotella_denticola_CRIS_18C_A.mat', 'Prevotella_denticola_DSM20614.mat', 'Prevotella_denticola_F0289.mat', 'Prevotella_disiens_FB035_09AN.mat', 'Prevotella_disiens_JCM_6334.mat', 'Prevotella_enoeca_JCM_12259.mat', 'Prevotella_histicola_F0411.mat', 'Prevotella_histicola_JCM_15637_DNF00424.mat', 'Prevotella_intermedia_17.mat', 'Prevotella_intermedia_ATCC_25611.mat', 'Prevotella_loescheii_DSM_19665.mat', 'Prevotella_maculosa_DSM_19339_JCM_15638.mat', 'Prevotella_maculosa_OT_289.mat', 'Prevotella_melaninogenica_ATCC_25845.mat', 'Prevotella_melaninogenica_D18.mat', 'Prevotella_micans_DSM_21469_JCM_16134.mat', 'Prevotella_micans_F0438.mat', 'Prevotella_multiformis_DSM_16608.mat', 'Prevotella_multisaccharivorax_DSM_17128.mat', 'Prevotella_nanceiensis_DSM_19126.mat', 'Prevotella_nigrescens_ATCC_33563.mat', 'Prevotella_nigrescens_F0103.mat', 'Prevotella_oralis_ATCC_33269.mat', 'Prevotella_oralis_HGA0225.mat', 'Prevotella_oris_C735.mat', 'Prevotella_oris_DSM_18711_JCM_12252.mat', 'Prevotella_oris_F0302.mat', 'Prevotella_oulorum_ATCC_43324.mat', 'Prevotella_oulorum_F0390.mat', 'Prevotella_pallens_ATCC_700821.mat', 'Prevotella_pleuritidis_F0068.mat', 'Prevotella_pleuritidis_JCM_14110.mat', 'Prevotella_ruminicola_23.mat', 'Prevotella_salivae_DSM_15606.mat', 'Prevotella_shahii_JCM_12083.mat', 'Prevotella_sp_C561.mat', 'Prevotella_sp_oral_taxon_473_str_F0040.mat', 'Prevotella_stercorea_DSM_18206.mat', 'Prevotella_timonensis_4401737.mat', 'Prevotella_timonensis_CRIS_5C_B1.mat', 'Prevotella_veroralis_DSM_19559.mat', 'Prevotella_veroralis_F0319.mat']"
841,30207,95,80.4447,Roseburia,"[{""anno"":""assoc w/ 1 phage clusters"",""dbtype"":""MVP"",""url"":""http://mvp.medgenius.info/microbes/841/Roseburia""}]","['Roseburia_faecis_ERR1022321.mat', 'Roseburia_faecis_ERR2221408.mat', 'Roseburia_faecis_ERR2230155.mat', 'Roseburia_faecis_M72.mat', 'Roseburia_hominis_A2_183.mat', 'Roseburia_hominis_ERR1022292.mat', 'Roseburia_intestinalis_ERR1022474.mat', 'Roseburia_intestinalis_ERR2221171.mat', 'Roseburia_intestinalis_ERR2230070.mat', 'Roseburia_intestinalis_L1_82.mat', 'Roseburia_intestinalis_XB6B4.mat', 'Roseburia_inulinivorans_DSM_16841.mat', 'Roseburia_inulinivorans_ERR1022293.mat', 'Roseburia_inulinivorans_ERR1022345.mat', 'Roseburia_inulinivorans_ERR1203941.mat', 'Roseburia_nov_ERR1022344.mat', 'Roseburia_nov_ERR1204035.mat', 'Roseburia_nov_ERR171282.mat', 'Roseburia_nov_ERR2221407.mat']"
843,7,1,0.0186,Wolinella,[],[]
846,4053,52,10.7936,Oxalobacter,[],"['Oxalobacter_formigenes_HOxBLS.mat', 'Oxalobacter_formigenes_OXCC13.mat']"
848,10119,68,26.9481,Fusobacterium,[],"['Fusobacterium_gonidiaformans_3_1_5R.mat', 'Fusobacterium_gonidiaformans_ATCC_25563.mat', 'Fusobacterium_massiliense_DSM_103085.mat', 'Fusobacterium_mortiferum_ATCC_9817.mat', 'Fusobacterium_necrogenes_NCTC10723.mat', 'Fusobacterium_necrophorum_D12.mat', 'Fusobacterium_necrophorum_subsp_funduliforme_1_1_36S.mat', 'Fusobacterium_necrophorum_subsp_funduliforme_ATCC_51357.mat', 'Fusobacterium_necrophorum_subsp_funduliforme_Fnf_1007.mat', 'Fusobacterium_nucleatum_13_3C.mat', 'Fusobacterium_nucleatum_CTI_2.mat', 'Fusobacterium_nucleatum_subsp_animalis_11_3_2.mat', 'Fusobacterium_nucleatum_subsp_animalis_21_1A.mat', 'Fusobacterium_nucleatum_subsp_animalis_3_1_33.mat', 'Fusobacterium_nucleatum_subsp_animalis_7_1.mat', 'Fusobacterium_nucleatum_subsp_animalis_ATCC_51191.mat', 'Fusobacterium_nucleatum_subsp_animalis_D11.mat', 'Fusobacterium_nucleatum_subsp_animalis_OT_420.mat', 'Fusobacterium_nucleatum_subsp_nucleatum_ATCC_23726.mat', 'Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586.mat', 'Fusobacterium_nucleatum_subsp_polymorphum_ATCC_10953.mat', 'Fusobacterium_nucleatum_subsp_polymorphum_F0401.mat', 'Fusobacterium_nucleatum_subsp_vincentii_3_1_27.mat', 'Fusobacterium_nucleatum_subsp_vincentii_3_1_36A2.mat', 'Fusobacterium_nucleatum_subsp_vincentii_4_1_13.mat', 'Fusobacterium_nucleatum_subsp_vincentii_ATCC_49256.mat', 'Fusobacterium_perfoetens_ATCC_29250.mat', 'Fusobacterium_periodonticum_1_1_41FAA.mat', 'Fusobacterium_periodonticum_2_1_31.mat', 'Fusobacterium_periodonticum_ATCC_33693.mat', 'Fusobacterium_russii_ATCC_25533.mat', 'Fusobacterium_sp_4_8.mat', 'Fusobacterium_ulcerans_12_1B.mat', 'Fusobacterium_ulcerans_ATCC_49185.mat', 'Fusobacterium_varium_ATCC_27725.mat']"
862,8,2,0.0213,Syntrophomonas,[],[]
864,1896,25,5.0493,Pectinatus,[],[]
866,2,1,0.0053,Ruminobacter,[],[]
872,14070,78,37.47,Desulfovibrio,[],"['Desulfovibrio_desulfuricans_subsp_aestuarii_DSM_17919_ATCC_29578.mat', 'Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642.mat', 'Desulfovibrio_desulfuricans_subsp_desulfuricans_str_ATCC_27774.mat', 'Desulfovibrio_desulfuricans_subsp_desulfuricans_str_G20.mat', 'Desulfovibrio_legallii_KHC7.mat', 'Desulfovibrio_piger_ATCC_29098.mat', 'Desulfovibrio_sp_3_1_syn3.mat', 'Desulfovibrio_sp_6_1_46AFAA.mat']"
893,371,2,0.988,Desulfobulbus,[],[]
898,380,4,1.012,Desulfomicrobium,[],['Desulfomicrobium_orale_DSM_12838.mat']
904,12287,79,32.7217,Acidaminococcus,[],"['Acidaminococcus_fermentans_DSM_20731.mat', 'Acidaminococcus_intestini_RyC_MR95.mat', 'Acidaminococcus_massiliensis_Marseille_P2828.mat', 'Acidaminococcus_sp_BV3L6.mat', 'Acidaminococcus_sp_D21.mat', 'Acidaminococcus_sp_HPA0509.mat']"
906,9153,66,24.3755,Megasphaera,[],"['Megasphaera_elsdenii_DSM_20460.mat', 'Megasphaera_genomosp_type_2.mat', 'Megasphaera_massiliensis_NP3.mat', 'Megasphaera_micronuciformis_F0359.mat', 'Megasphaera_nov_ERR1022370.mat', 'Megasphaera_paucivorans_DSM_16981.mat']"
914,353,1,0.9401,Nitrosomonas,[],[]
919,385,2,1.0253,Thiobacillus,[],[]
953,36,6,0.0959,Wolbachia,"[{""dbtype"":""MVP"",""anno"":""assoc w/ 2 phage clusters"",""url"":""http://mvp.medgenius.info/microbes/953/Wolbachia""}]",[]
958,428,3,1.1398,Bdellovibrio,"[{""url"":""http://mvp.medgenius.info/microbes/958/Bdellovibrio"",""dbtype"":""MVP"",""anno"":""assoc w/ 1 phage clusters""}]","['Bdellovibrio_bacteriovorus_HD100.mat', 'Bdellovibrio_bacteriovorus_SSB218315.mat', 'Bdellovibrio_bacteriovorus_str_Tiberius.mat', 'Bdellovibrio_bacteriovorus_W.mat']"
963,440,7,1.1718,Herbaspirillum,[],"['Herbaspirillum_huttiense_1147.mat', 'Herbaspirillum_huttiense_AU6965_10_3.mat', 'Herbaspirillum_huttiense_NFYY_53159.mat', 'Herbaspirillum_huttiense_subsp_putei_IAM_15032.mat']"
